LocationID	LocationName	StartDate	EndDate	SPA
1031704	Bunkerweiden VLISSEGEM	NA	NA	1
1031801	Vestingen BRUGGE	NA	NA	0
1031810	Complex Brugge (overige gebieden) BRUGGE	NA	NA	0
1032001	Zeekanaal BRUGGE-ZEEBRUGGE	NA	NA	0
1032402	Van Haelewijn BEERNEM	NA	NA	0
1032404	Zandwinning/Kijkuit BEERNEM	NA	NA	0
1032405	Drie Koningen BEERNEM	NA	NA	0
1032408	Miseriebocht BEERNEM	NA	NA	0
1032409	Bloemendaele BEERNEM	NA	NA	0
1032411	Gentse Vaart St.Joris tot Beernem	NA	NA	0
1032412	Gentse Vaart Beernem tot Moerbrugge	NA	NA	0
1032413	Bulskampveld BEERNEM	NA	NA	0
1032414	Gentse Vaart Moerbrugge-Steenbrugge	NA	NA	0
1032415	Gentse Vaart Brugge-Steenbrugge	NA	NA	0
1032503	Polderwind ZUIENKERKE	NA	NA	0
1032505	Polder Zuienkerke West ZUIENKERKE	NA	NA	0
1032506	Polder Zuienkerke Oost ZUIENKERKE	NA	NA	0
1033001	Weiden STALHILLE (Nieuwege)	NA	NA	0
1033002	Oostendse Vaart Nieuwege - Stalhille	NA	NA	0
1033003	Weiden Vijfwege STALHILLE	NA	NA	0
1033004	Schobbejak STfALHILLE	NA	NA	0
1033005	Oostendse Vaart Scheepsdaele-Nieuwege	NA	NA	0
1033007	Weiden STALHILLE	NA	NA	0
1033107	Putje Maleveld DAMME	2003-10-01	NA	0
1033108	Poldercomplex Damme Noord (Rombautswerve) DAMME	2003-10-01	NA	1
1033109	Stadswallen DAMME	2003-10-01	NA	1
1033110	Poldercomplex Damme West DAMME	2003-10-01	NA	1
1033111	Poldercomplex Damme Oost (Konduitput) DAMME	2003-10-01	NA	1
1033113	Bonemput DAMME	2003-10-01	NA	1
1033114	Poldercomplex Vlienderhaag (MOERKERKE)	2003-10-01	NA	1
1033115	Poldercomplex Damme Zuid (Pijpeweg) DAMME	2003-10-01	NA	1
1033302	Put MEETKERKE	NA	NA	1
1033303	Lage Moeren MEETKERKE	NA	NA	1
1033307	Eendenkooi MEETKERKE	NA	NA	1
1033308	Hoge Moere MEETKERKE	NA	NA	1
1033401	Poldercomplex OOSTKERKE	NA	NA	1
1033406	Kleiputten OOSTKERKE	NA	NA	0
1033407	Put Bekaert OOSTKERKE	NA	NA	0
1033701	Lapscheuregat LAPSCHEURE	NA	NA	0
1033702	Flettersdam (Platte Kreek) LAPSCHEURE	NA	NA	1
1033703	Kaleshoek LAPSCHEURE	NA	NA	1
1033705	Kwabettekreek LAPSCHEURE	NA	NA	1
1033706	Polder LAPSCHEURE	NA	NA	0
1033707	Putje Kobus LAPSCHEURE	NA	NA	0
1033708	Damwegplas MIDDELBURG	NA	NA	0
1033802	Rijkswachtpolders JABBEKE	NA	NA	1
1033901	Palingpot STALHILLE	NA	NA	0
1034002	Polders KOOLKERKE	NA	NA	0
1034103	Meibosvijver SIJSELE	NA	NA	0
1034104	Golf SIJSELE	NA	NA	0
1034105	Polder SIJSELE	NA	NA	0
1034301	Kwetshage VARSENARE	NA	NA	0
1034302	Tuingebied SBZ VARSENARE	NA	NA	0
1034501	Put ZERKEGEM	NA	NA	0
1034601	Stationsput EERNEGEM	NA	NA	0
1034602	Meersen EERNEGEM	NA	NA	0
1035001	Damse Vaart Hoeke (brug) - Nederlandse grens	NA	NA	1
1035002	Damse Vaart Syphons - Hoeke (brug)	NA	NA	0
1035003	Damse Vaart Brugge - Damme (Syphons)	NA	NA	1
1035201	Poldercomplex HOUTAVE	NA	NA	0
1035202	Hoge Moere HOUTAVE	NA	NA	0
1036102	Leopoldkanaal + Schipdonkkanaal MALDEGEM (Leestjensbrug-Strobrug)	NA	NA	0
1036502	Doolhofvijver SINT-KRUIS (Brugge)	NA	NA	0
1036503	Ryckevelde SINT-KRUIS-BRUGGE	NA	NA	0
1036701	Assebroekse Meersen ASSEBROEK	NA	NA	0
1036801	Put BEKEGEM	NA	NA	0
1037101	Put SNELLEGEM	NA	NA	0
1037504	Strand DE HAAN - BLANKENBERGE	NA	NA	0
1038201	Put ETTELGEM	NA	NA	0
1038401	Vloetemveld ZEDELGEM	NA	NA	0
1038501	Kasteel de Maere TORHOUT	NA	NA	0
1038502	Moerenveldput TORHOUT	NA	NA	0
1038503	Fonteinpadput Bos Wijnendale TORHOUT	NA	NA	0
1038504	Waterbufferbekken Koebeek	NA	NA	0
1038505	Vijver Moerveldepad	NA	NA	0
1040203	Geitepark I ROESELARE	NA	NA	0
1040204	Geitepark II ROESELARE	NA	NA	0
1040205	Ronde Kom / Kleine Bassin ROESELARE	NA	NA	0
1040401	Kleiputten HOOGLEDE	NA	NA	0
1040601	Kleiputten RUMBEKE	NA	NA	0
1040701	Kanaal Ronde Kom - brug A17	NA	NA	0
1040702	Kanaal brug A17 - brug Emelgem	NA	NA	0
1040703	Kanaal brug Emelgem - brug Ingelmunster	NA	NA	0
1040704	Kanaal brug Ingelmunster - brug Oostrozebeke	NA	NA	0
1040705	Kanaal brug Oostrozebeke - sas Ooigem	NA	NA	0
1040801	Provinciaal Domein 't Veld ARDOOIE	NA	NA	0
1040802	Vijver Ardovries ARDOOIE	NA	NA	0
1040803	Waterspaarbekken (Izegemstraat) ARDOOIE	NA	NA	0
1040901	Bufferbekken BEVEREN (Roeselare)	NA	NA	0
1060201	Bergelenput GULLEGEM	NA	NA	0
1060301	De Gavers HARELBEKE	NA	NA	0
1061702	Sas D'Hooie St.-BAAFS-VIJVE	NA	NA	0
1061802	Zavelput WAKKEN	NA	NA	0
1061803	Mandelkreek WAKKEN	NA	NA	0
2050101	Zwaneplas ZEVERGEM	NA	NA	0
2050103	Ham ZEVERGEM	NA	NA	0
2050104	Forelputten ZEVERGEM	NA	NA	0
2050107	Schelde ZEVERGEM	NA	NA	0
2050108	Bruwe ZEVERGEM	NA	NA	0
2050110	Krommenhoek ZEVERGEM	NA	NA	0
2050114	Oudmeers ZEVERGEM	NA	NA	0
2050115	De Piere ZEVERGEM	NA	NA	0
2050118	Bomput ZEVERGEM	NA	NA	0
2050123	Zonneputje ZEVERGEM	NA	NA	0
2050124	Spanjaard ZEVERGEM	NA	NA	0
2050125	Doornhammeke ZEVERGEM	NA	NA	0
2050201	Skiput DE PINTE	NA	NA	0
2050301	Watersportbaan GENT	NA	NA	0
2050309	Blaarmeersen GENT	NA	NA	0
2050401	Bourgoyen-Ossemeersen DRONGEN	NA	NA	0
2050404	Leeuwenhof (= Hof ter Beke) DRONGEN	NA	NA	0
2050406	Keuzemeersen DRONGEN	NA	NA	0
2050407	Hoge Laken DRONGEN	NA	NA	0
2050408	Assels DRONGEN	NA	NA	0
2050502	Stuw Schelde ZWIJNAARDE	NA	NA	0
2050804	Meersen Damvallei DESTELBERGEN	NA	NA	0
2050805	Damvalleimeer DESTELBERGEN	NA	NA	0
2050807	Scheldemeer DESTELBERGEN	NA	NA	0
2050808	Damslootmeer DESTELBERGEN	NA	NA	0
2050809	Oude Surfput DESTELBERGEN (Lochristi)	NA	NA	0
2050810	Tijgebonden Oude Schelde Gent - monding Ringvaart	NA	NA	0
2050816	Kalverbos HEUSDEN	NA	NA	0
2051001	Spaarbekkens KLUIZEN	NA	NA	0
2051102	Oude Kanaalarm (Houtdok) LANGERBRUGGE	NA	NA	0
2051109	Opgespoten terrein (96/97) LANGERBRUGGE	1996-10-01	1997-04-01	0
2051201	Leopoldskanaal/polders WATERVLIET-BOEKHOUTE	NA	NA	0
2051204	Vliet BOEKHOUTE	NA	NA	0
2051309	Krekengebied ASSENEDE	NA	NA	1
2051401	Provinciaal Domein WACHTEBEKE	NA	NA	0
2051404	Sint-Elooiskreek WACHTEBEKE	NA	NA	0
2051405	Grote Kreek WACHTEBEKE / MOERBEKE	NA	NA	0
2051406	Zoute Kreek WACHTEBEKE	NA	NA	0
2051501	Fabelta ZWIJNAARDE	NA	NA	0
2051504	Tijarm (tot ringvaart) ZWIJNAARDE	NA	NA	0
2051506	Schelde ZWIJNAARDE	NA	NA	0
2051507	Meersbloem ZEVERGEM	NA	NA	0
2051508	Rijvisschestraat ZWIJNAARDE	NA	NA	0
2051601	Liedermeerspark MERELBEKE	NA	NA	0
2051603	Schelde bij Liedermeerspark, MERELBEKE	NA	NA	0
2051801	Kraenepoel AALTER	NA	NA	0
