ObservationID	SubLocationName	Count
146760	1_2	7
146760	2_1	0
146760	2_2	1
146760	3_1	0
146760	3_2	0
146761	1_1	0
146761	1_2	1
146761	2_1	0
146761	2_2	0
146761	3_1	0
146761	3_2	0
146844	1_1	0
146844	1_2	0
146844	2_1	1
146844	2_2	0
146844	3_1	0
146844	3_2	0
146984	1_1	0
146984	1_2	0
146984	2_1	6
146984	2_2	0
146984	3_1	0
146984	3_2	3
146985	1_1	0
146985	1_2	0
146985	2_1	10
146985	2_2	0
146985	3_1	2
146985	3_2	2
146986	1_1	0
146986	1_2	0
146986	2_1	13
146986	2_2	0
146986	3_1	0
146986	3_2	4
147265	1_1	0
147265	1_2	0
147265	2_1	0
147265	2_2	0
147265	3_1	0
147265	3_2	0
147266	1_1	1
147266	1_2	0
147266	2_1	0
147266	2_2	0
147266	3_1	0
147266	3_2	0
147267	1_1	0
147267	1_2	0
147267	2_1	0
147267	2_2	0
147267	3_1	0
147267	3_2	0
147340	1_1	0
147340	1_2	0
147340	2_1	0
147340	2_2	4
147340	3_1	0
147340	3_2	6
147418	1_1	0
147418	1_2	1
147418	2_1	0
147418	2_2	0
147418	3_1	0
147418	3_2	0
147419	1_1	0
147419	1_2	0
147419	2_1	0
147419	2_2	0
147419	3_1	0
147419	3_2	0
147420	1_1	0
147420	1_2	1
147420	2_1	0
147420	2_2	0
147420	3_1	0
147420	3_2	0
148392	1_1	0
148392	1_2	1
148392	2_1	0
148392	2_2	0
148392	3_1	0
148392	3_2	0
148519	1_1	0
148519	1_2	0
148519	2_1	2
148519	2_2	0
148519	3_1	0
148519	3_2	0
148532	1_1	0
148532	1_2	0
148532	2_1	0
148532	2_2	0
148532	3_1	0
148532	3_2	2
148533	1_1	0
148533	1_2	0
148533	2_1	0
148533	2_2	0
148533	3_1	0
148533	3_2	0
148651	1_1	0
148651	1_2	0
148651	2_1	0
148651	2_2	0
148651	3_1	0
148651	3_2	0
148652	1_1	0
148652	1_2	0
148652	2_1	0
148652	2_2	0
148652	3_1	0
148652	3_2	0
148653	1_1	0
148653	1_2	0
148653	2_1	0
148653	2_2	0
148653	3_1	0
148653	3_2	0
148667	1_1	0
148667	1_2	0
148667	2_1	0
148667	2_2	4
148667	3_1	0
148667	3_2	6
148704	1_1	0
148704	1_2	0
148704	2_1	0
148704	2_2	0
148704	3_1	0
148704	3_2	0
148705	1_1	2
148705	1_2	0
148705	2_1	0
148705	2_2	0
148705	3_1	0
148705	3_2	0
148706	1_1	1
148706	1_2	0
148706	2_1	0
148706	2_2	0
148706	3_1	0
148706	3_2	0
150324	1_1	0
150324	1_2	0
150324	2_1	0
150324	2_2	0
150324	3_1	0
150324	3_2	0
150329	1_1	0
150329	1_2	0
150329	2_1	0
150329	2_2	0
150329	3_1	1
150329	3_2	0
150334	1_1	0
150334	1_2	0
150334	2_1	0
150334	2_2	0
150334	3_1	0
150334	3_2	0
150987	1_1	0
150987	1_2	0
150987	2_1	0
150987	2_2	0
150987	3_1	0
150987	3_2	0
150995	1_1	0
150995	1_2	1
150995	2_1	0
150995	2_2	0
150995	3_1	0
150995	3_2	0
151012	1_1	0
151012	1_2	0
151012	2_1	0
151012	2_2	1
151012	3_1	0
151012	3_2	0
151122	1_1	0
151122	1_2	0
151122	2_1	0
151122	2_2	0
151122	3_1	0
151122	3_2	0
151138	1_1	0
151138	1_2	0
151138	2_1	0
151138	2_2	0
151138	3_1	0
151138	3_2	0
151151	1_1	0
151151	1_2	0
151151	2_1	0
151151	2_2	0
151151	3_1	1
151151	3_2	0
152485	1_1	0
152485	1_2	0
152485	2_1	0
152485	2_2	2
152485	3_1	0
152485	3_2	0
152531	1_1	0
152531	1_2	0
152531	2_1	0
152531	2_2	2
152531	3_1	0
152531	3_2	0
152532	1_1	0
152532	1_2	0
152532	2_1	0
152532	2_2	0
152532	3_1	0
152532	3_2	8
152533	1_1	0
152533	1_2	0
152533	2_1	0
152533	2_2	2
152533	3_1	0
152533	3_2	0
152536	1_1	0
152536	1_2	0
152536	2_1	0
152536	2_2	2
152536	3_1	0
152536	3_2	0
152537	1_1	0
152537	1_2	0
152537	2_1	0
152537	2_2	0
152537	3_1	0
152537	3_2	8
152555	1_1	0
152555	1_2	0
152555	2_1	0
152555	2_2	0
152555	3_1	0
152555	3_2	0
152556	1_1	0
152556	1_2	1
152556	2_1	0
152556	2_2	0
152556	3_1	0
152556	3_2	0
152558	1_1	0
152558	1_2	0
152558	2_1	0
152558	2_2	1
152558	3_1	0
152558	3_2	0
152882	1_1	0
152882	1_2	0
152882	2_1	0
152882	2_2	0
152882	3_1	0
152882	3_2	0
152883	1_1	2
152883	1_2	0
152883	2_1	0
152883	2_2	0
152883	3_1	0
152883	3_2	0
152884	1_1	1
152884	1_2	0
152884	2_1	0
152884	2_2	0
152884	3_1	0
152884	3_2	0
153239	1_1	0
153239	1_2	0
153239	2_1	0
153239	2_2	0
153239	3_1	0
153239	3_2	0
153241	1_1	0
153241	1_2	1
153241	2_1	0
153241	2_2	0
153241	3_1	0
153241	3_2	0
153302	1_1	0
153302	1_2	0
153302	2_1	0
153302	2_2	0
153302	3_1	0
153302	3_2	0
153303	1_1	0
153303	1_2	0
153303	2_1	0
153303	2_2	0
153303	3_1	0
153303	3_2	0
153304	1_1	0
153304	1_2	0
153304	2_1	0
153304	2_2	0
153304	3_1	0
153304	3_2	0
153389	1_1	0
153389	1_2	0
153389	2_1	2
153389	2_2	0
153389	3_1	0
153389	3_2	0
153390	1_1	0
153390	1_2	0
153390	2_1	0
153390	2_2	0
153390	3_1	0
153390	3_2	2
153391	1_1	0
153391	1_2	0
153391	2_1	0
153391	2_2	0
153391	3_1	0
153391	3_2	0
155011	1_1	0
155011	1_2	0
155011	2_1	2
155011	2_2	4
155011	3_1	0
155011	3_2	2
155082	1_1	0
155082	1_2	0
155082	2_1	0
155082	2_2	0
155082	3_1	0
155082	3_2	3
155266	1_1	0
155266	1_2	0
155266	2_1	0
155266	2_2	0
155266	3_1	0
155266	3_2	0
155566	1_1	0
155566	1_2	0
155566	2_1	4
155566	2_2	2
155566	3_1	0
155566	3_2	0
155583	1_1	0
155583	1_2	0
155583	2_1	0
155583	2_2	0
155583	3_1	0
155583	3_2	0
155602	1_1	0
155602	1_2	0
155602	2_1	3
155602	2_2	0
155602	3_1	0
155602	3_2	0
155664	1_1	0
155664	1_2	0
155664	2_1	0
