SpeciesID	Species	SpeciesNL	SpeciesEN	SpeciesFR
16380	Fringilla montifringilla	Keep	Brambling	NA
16400	Serinus serinus	Europese kanarie	Serin	NA
16490	Carduelis chloris	Groenling	Greenfinch	NA
16530	Carduelis carduelis	Putter	Goldfinch	NA
16540	Carduelis spinus	Sijs	Siskin	NA
16600	Carduelis cannabina	Kneu	Linnet	NA
16630	Carduelis flammea	Barmsijs	Redpoll	NA
16634	Carduelis….	Kleine barmsijs	Redpoll (cabaret)	NA
16660	Loxia curvirostra	Kruisbek	Crossbill	NA
16680	Loxia pytyopsittacus	Grote kruisbek	Parrot crossbill	NA
16790	Carpodacus erythrinus	Roodmus	Scarlet rosefinch	NA
17100	Pyrrhula pyrrhula	Goudvink	Bullfinch	NA
17170	Coccothraustes coccothraustes	Appelvink	Hawfinch	NA
18570	Emberiza citrinella	Geelgors	Yellowhammer	NA
18660	Emberiza hortulana	Ortolaan	Ortolan bunting	NA
18770	Emberiza schoeniclus	Rietgors	Reed bunting	NA
18820	Miliaria calandra	Grauwe gors	Corn bunting	NA
20380	Chloephaga picta	Magelhaengans	Magghelan goose	NA
20800	Cignus atratus	Zwarte zwaan	Black swan	NA
25700	Callonetta leucophrys	Ringtaling	Ringed teal	NA
99989	Sylvia cantillans	Baardgrasmus	Subalpine warbler	Fauvette passerinette
99990	Pluvialis apricaria	Goudplevier	Golden plover	Pluvier doré
99991	Myiopsitta monachus	Monniksparkiet	Monk parakeet	Conure veuve
99992	Locustella fluviatilis	Krekelzanger	River warbler	Locustelle fluviatile
99994	Ciconia nigra	Zwarte ooievaar	Black stork	Cigogne noire
99995	Bubo bubo	Oehoe	Eagle owl	Hibou grand-duc
99996	Amandava amandava	Tijgervink	Red avadavat	Bengali rouge
99997	Sylvia conspicillata	Brilgrasmus	NA	NA
99998	Chlidonias hybridus	Witwangstern	NA	NA
99999	Anser brachyrhynchus	Kleine rietgans	NA	NA
