LocationID	LocationName	SPA	Area	XBelgiumLambert72	YBelgiumLambert72
RHOE_07.27	Gouy-Lez-Pieton ( RND de la Claire Fontaine)	1	62.99277491	145399.7634	130630.0204
RHOE_07.28	Feluy (Zoning Industriel)	0	43.72494868	138404.8554	137367.8825
RHOE_07.92	Ronquières (Canal)	0	7	139749	144116
RHOE_07.93	"Canal de Seneffe (juste en amont du lieu-dit ""Le Gibet"") à Charleroi"	0	100	151000	125000
RHOE_08.01	Genappe (Décanteurs)	0	90.3299066	154848.4757	143572.3416
RHOE_08.03	Nivelles (Etang de Grambais)	0	0.683725203	143790.1301	144431.946
RHOE_08.04	Nivelles (Etang de la Potte)	0	1.672104667	147399.4803	144563.1811
RHOE_08.05	Nivelles (Etang de la Papeterie)	0	6	147255	144161
RHOE_08.06	Nivelles (Etang sud Hututu)	0	1	147201	144203
RHOE_08.07	Nivelles (Parc de la Dodaine)	0	32.75288539	146817.2423	142133.0387
RHOE_08.08	Sart-Dame-Avelines (Etang Materne)	1	7.673648256	157078.8416	139046.8555
RHOE_08.09	Villers-la-Ville (Etangs de la Thyle)	0	7.198229506	160172.591	139897.6063
RHOE_08.10	Nivelles (Golf de la Tourette)	0	8.407478506	145099.817	145731.6588
RHOE_08.11	Frasnes-lez-Gosselies et Prés des Saules	0	50.93207222	157218.5961	138674.374
RHOE_08.12	Bornival	0	0.825703014	143193.2372	143383.2257
RHOE_09.01	Anderlecht (Chant d'Oiseaux)	0	2.838142594	143986.3395	166495.9923
RHOE_09.02	Anderlecht (Etang de Neerpede)	0	1.31541448	143543.4514	168272.2255
RHOE_09.03	Anderlecht (Parc des étangs)	0	4.449101198	144103.9707	168310.4936
RHOE_09.04	Auderghem (Val Duchesse)	0	8.06205902	154513.8014	168086.5267
RHOE_09.05	Auderghem (Rouge-Cloître)	0	11.12637266	155258.4321	166924.8387
RHOE_09.06	Watermael-Boitsfort (Etangs du Dirigeable)	0	1.54076607	153655.2233	165477.819
RHOE_09.07	Boitsfort (Etangs des Enfants noyés)	0	1.003969371	152742.6461	164600.9051
RHOE_09.08	Grand étang de Boitsfort (étang du moulin)	0	3.311290146	153368.6856	164710.3151
RHOE_09.09	Bruxelles (Tour et Taxis)	0	55.93085407	148562.7141	173096.5027
RHOE_09.10	Boitsfort (Ten Reuken)	0	5.489193135	154193.5683	166215.5678
RHOE_09.11	Watermael-Boitsfort (Royale Belge)	0	10.13971341	154088.8252	165774.8156
RHOE_09.12	Boitsfort (Etangs du Vuylbeek) Amont	0	0.814141586	152705.9541	163823.4392
RHOE_09.13	Boitsfort (Vallée du Vuylbeek)	0	6.509235686	152289.7058	163318.1806
RHOE_09.15	Bruxelles (Bois de la Cambre)	0	11.24637753	150883.3217	165951.04
RHOE_09.16	Bruxelles (Square Marie-Louise)	0	2.009530807	150704.6269	170714.478
RHOE_09.17	Bruxelles (Canal+port+bassin Vergote)	0	107.7578802	149506.9686	173216.7984
RHOE_09.18	Etterbeek (Parc Léopold)	0	1.589327437	150768.9191	169856.682
RHOE_09.19	Evere (Moeraske)	0	3.416319111	151986.135	174609.7361
RHOE_09.20	Ixelles (2 étangs)	0	4.079066546	150290.1395	168185.5159
RHOE_09.21	Jette (Marais)	0	7.923722131	146057.0576	174545.4969
RHOE_09.22	Jette (Parc Roi Baudouin)	0	3.836824234	147024.0868	174830.7249
RHOE_09.23	Jette (Poelbos)	0	10.68132459	145981.3666	174839.4316
RHOE_09.24	Jardins Sobieski - Laeken	0	2.796240366	148370.0524	175058.7276
RHOE_09.25	Laeken (Domaine royal)	0	176.4135588	149697.0452	174972.0801
RHOE_09.26	Woluwe-Saint-Lambert (Hof Ter Muschen)	0	11.56447262	155417.5377	171328.8912
RHOE_09.27	Woluwe-Saint-Lambert (Parc des Sources)	0	4.935897479	154779.3083	169463.0257
RHOE_09.28	Woluwe-Saint-Lambert (Parc Malou)	0	3.251190097	154959.882	170170.6759
RHOE_09.29	Woluwe-Saint-Pierre (Etangs Mellaerts)	0	7.726854182	154590.8162	168559.2446
RHOE_09.30	Woluwe-Saint-Pierre (Parc de Woluwe)	0	8.852055005	154304.3217	169042.7264
RHOE_09.31	Bruxelles (Parc du Botanique)	0	4.184542868	149650.3228	171603.834
RHOE_09.32	Laeken (Parc d'Osseghem)	0	11.33540383	148323.9078	176159.6896
RHOE_09.33	Square Clémentine - Laeken	0	1.154088749	148229.435	175070.4329
RHOE_09.34	Schaerbeek (Parc Josaphat)	0	22.36102416	151167.0949	172455.8609
RHOE_09.35	Anderlecht (Parc Astrid)	0	14.13478004	145029.0118	169186.8778
RHOE_09.36	Woluwe-Saint-Pierre (Parc Parmentier)	0	3.511646764	155023.8266	168694.4822
RHOE_09.37	Watermael-Boitsfort (Etang du Fer à Cheval)	0	1.368115267	152302.5142	164500.1328
RHOE_09.38	Watermael-Boitsfort (Parc Tournay-Solvay)	0	7.478011698	152981.7707	164760.7797
RHOE_09.39	Watermael-Boitsfort (Etang des Silex)	0	1.67320617	153241.595	164522.9145
RHOE_09.41	Bruxelles (Square Prince Charles)	0	1.19595715	148800.9383	174555.5605
RHOE_09.44	Forest (Neerstalle/Bempt)	0	1.457707058	146064.8798	165724.5314
RHOE_09.49	Anderlecht (Erasme 2 étangs)	0	0.968190898	143011.8365	166841.2825
RHOE_09.52	Anderlecht (Erasme bassin d'orage)	0	0.973085206	143052.3467	167329.9072
RHOE_09.53	Molenbeek (Parc Marie-Josée)	0	5.643173969	146489.9289	171199.4376
RHOE_09.54	Molenbeek (Château de Karreveld)	0	1.198878042	146241.2694	172223.6055
RHOE_09.60	Woluwe-Saint-Lambert (In de Kwak)	0	1.374240292	155039.0259	170688.5739
RHOE_09.69	Watermael-Boitsfort (Parc Tercoigne)	0	0.975301502	152443.3314	166920.1615
RHOE_09.70	Watermael-Boitsfort (Pêcheries rue des Pêcheries)	0	2.392782355	153046.1447	166914.9893
RHOE_09.71	Watermael-Boitsfort  (Pêcheries Saint Clément)	0	4.836849351	152693.1816	166789.6344
RHOE_09.73	Uccle (Kinsedael/Kriekenput)	0	10.03280375	147823.0724	164128.2482
RHOE_09.74	Uccle (Papenkasteel)	0	4.591156543	148187.0764	164295.2428
RHOE_09.78	Uccle (Parc de la Sauvagère)	0	5.779477888	148599.0033	164158.6872
RHOE_09.79	Uccle (Geleytsbeek/Spellemansbron)	0	0.983856637	148069.4538	164435.4447
RHOE_09.84	Berchem-Ste-Agathe (Wilder)	0	6.840093763	144477.4974	172096.8654
RHOE_09.85	Auderghem (Bercoje)	0	2.167926574	154351.5816	167048.0279
RHOE_09.88	Woluwe-Saint-Lambert (Divers)	0	44	154517	168154
RHOE_09.89	Laeken (Divers)	0	NA	NA	NA
RHOE_09.91	Bruxelles (Cinquantenaire)	0	36.02874007	151565.6602	170058.2733
RHOE_09.92	Neder-over-Hembeek (Quartier Astrid)	0	120	152650	176942
RHOE_09.94	Parc du Scheutbos	0	62.96192727	144609.2054	171253.3523
RHOE_09.97	Boitsfort (Étang du Vuylbeek)	0	19	153425	164722
RHOE_10.01	Gastuche (Etang Paradis)	0	11.71243229	169167.1101	157468.7955
RHOE_10.02	Gastuche (Marais de Laurensart)	0	37.81225922	169379.0788	158284.513
RHOE_10.03	Hamme-Mille (Etangs)	0	17.5978763	175224.3928	163577.0603
RHOE_10.04	Nethen (Etangs)	0	2.379375325	171894.6029	163845.2052
RHOE_10.05	Ottignies (Lac de Louvain-la-Neuve)	0	7.243657738	166742.6808	150659.9437
RHOE_10.06	Pécrot (Etangs)	1	41.17918267	169630.9528	162678.5139
RHOE_10.07	Wavre (Etangs de Bierges)	0	10	167236	156178
RHOE_10.08	Wavre (Etang Walibi et sud de la E411)	0	19.25125397	166029.7133	154568.7711
RHOE_10.09	Dion-Valmont (Etangs)	0	4.15444527	170455.9155	155405.7172
RHOE_10.10	Court-Saint-Etienne (Etangs)	0	19.94442231	164590.835	147948.176
RHOE_10.11	Ottignies (Pinchart)	0	24.36982284	162640.5614	152183.4471
RHOE_10.12	Chaumont-Gistoux (Etangs ouest Champ'taine)	0	12.98967279	173912.9449	152832.6304
RHOE_10.13	Nodebais (Etang + bassin d'orage)	0	8.529692879	175791.0436	162827.9782
RHOE_10.14	Limelette (Marais)	1	12.51444546	164882.7165	152414.9578
RHOE_10.15	Ottignies-LLN (Bois de Lauzelle-étang du blanc Ry)	1	1.392462853	165528.3015	151597.4815
RHOE_10.16	Tourinnes-la-Grosse (Grand Brou)	0	3.721069384	175856.9993	163162.1978
RHOE_10.17	Dyle à Basse-Wavre	0	12.90716861	168682.0097	157434.3148
RHOE_10.18	Dyle à Pecrot	0	36.57368813	169705.6304	160986.0711
RHOE_10.19	Dyle à Bierges	0	13.79896512	166275.0848	155145.2861
RHOE_10.20	L'Ecluse (Etang de Wahenge)	0	1.861800584	181136.7735	161146.9426
RHOE_10.21	Court-Saint-Etienne (Etang de Chevlipont)	0	3	164105	147725
RHOE_10.22	Court-Saint-Etienne (Etang du Ri-Pirot)	0	5	164000	145000
RHOE_10.23	Court-Saint-Etienne (Etang près du viaduc de la N25)	0	5	164000	145000
RHOE_10.24	Court-Saint-Etienne (Etang du château Goblet d'Aviella)	0	5	164000	145000
